first_name,last_name,dob,gender
SCOBA,JOSEPH,1/30/1945,F
TIFFANY,WADDELL,8/7/1972,F
CLAUDETTE,Toth,4/6/1906,F
DAVID,NEUMAN,12/11/1937,F
RICHARD,PAAKKONEN,11/30/1973,M
CATHERINE,MESSIER,4/14/1925,M
MICHAEL,GARFIELD JR,11/23/1925,M
JUNIS,LABOVICH,3/8/1966,F
LOELLA,ROBISON,10/17/1971,M
CAROLINE,DRISCOLL,5/9/1999,F
WILLIAM,NASCIMENTO,3/21/1957,M
WILLIAM,WILLEY,2/13/1923,M
JOHN,KATSARAKES,10/4/1908,F
JAMES,TWOMEY,3/29/1963,F
DAVID,NASCIMENTO,2/9/1981,F
ELIZABETH,CRIPPS,1/14/1943,M
MARCO,LOVEWINE,11/14/1940,M
MARY,PAVAO,5/21/1953,F
ROSEMARY,Spieske,8/8/1907,F
ANDREW,QUIN,11/28/1913,F
LORRAINE,LANDRIGAN,2/15/1919,F
LEIGH,HUNT,8/31/1980,F
Edward,JONAS JR,10/15/1988,F
ANGELA,MACOMBER,2/21/1931,F
PEGGY,ALVES,7/20/1971,M
LAURA,WISNESKI,7/13/1982,M
DEXTER,SMITH,5/27/1982,M
FRANCES,DAVIES,8/23/1934,F
RONALD,REUNING,11/29/1932,M
MARY,STUDSTILL JR,7/25/1961,M
LUISA,SABETTA,10/28/1928,M
ORLANDO,MAGARGLE,7/13/1934,F
EILEEN,SANTOSUOSSO,9/29/1976,F
THELMA,WILLIS,4/5/1935,M
JUDITH,MAZZARELLA,10/23/1975,F
ANGELA,FERNANDES,2/26/1998,F
MICHELE,CAVANAUGH,8/21/1981,M
V,BELL,3/4/1949,F
JOYCE,GUNTER,4/17/1957,F
WILLIAM,GALACAR,1/21/1980,M
MICHELE,DAWID,12/16/1953,M
DOROTHY,ROBERTS,2/6/1999,M
HARRY,SALVATORI,5/5/1992,M
MARCO,ARAUJO,12/4/1985,M
ANGELA,ARAUJO,3/22/1915,F
WILLIAM,BOURNE,2/18/1924,M
DOI,SACCOMANI,4/13/1915,F
WILLIAM,HOWARD JR,12/22/1969,M
PRISCILLA,DAVIS,6/24/1956,F
PATRICIA,SODERBERG,12/12/1980,F
MARTHA,DAMON KOMINZ,4/3/1951,F
WILLIAM,BALDWIN,6/19/1980,M
JUDITH,GONZALEZ,6/26/1948,F
TYRONE,MCLEAN,10/25/1952,F
DANNY,LACHMAN,7/26/1979,F
RICHARD,PEREIRA,1/10/1977,M
RICHARD,NEMETH,11/3/1938,M
DEXTER,MANNING,1/18/1983,M
V,RODAK,11/21/1932,F
MARIE,HAIMILA,10/19/1932,F
MERCEDES,SAVINO,2/4/1930,M
CAROL,GILCHREST,3/11/1918,F
CHESTER,JACOB,3/9/1926,M
BEVERLY,Buys,9/29/1964,F
DOMINICK,SHEARER,4/6/1988,M
LAURA,JACOB,3/5/1943,M
GORDON,ROBLES PLAZA,8/13/1949,M
JOSEPH,CRAUMER,7/22/1946,M
JANE,MOORE JR,6/30/1995,F
MARTHA,ANDERSON,6/19/1942,M
ORLANDO,ANDERSON,11/1/1978,F
WILLIAM,SCHWARTZ,2/6/1983,M
ANGELA,SCHWARTZ,10/1/1958,F
GEORGE,BAUM,11/19/1942,F
WALLANCE,STAFFIER,9/13/1994,F
ANNE,BELANCIK,7/8/1979,F
DOROTHY,JONES,8/19/1925,M
ALEXANDER,ROHAN,7/8/1962,F
TERRY,SAMET,12/7/1907,F
MARTHA,BARTSCH,5/23/1921,F
JOSEPH,WALSH,4/23/1930,M
KIRK,MIHALIK,10/12/1928,M
JUDITH,THOMAS,2/26/1948,F
DANIEL,WANDELEAR,3/27/1963,M
JOHN,MARSHALL,1/3/1910,F
BARBARA,PLAVECK,3/17/1956,F
ANGELA,ZIMMERMAN,5/6/1936,F
GILBERT,GARIEPY,7/21/1902,M
RAYMOND,RICE,1/30/1994,F
ORLANDO,CICCHETTI,2/4/1957,F
JAMES,CICOLINI,1/25/1974,M
KIRK,BROUGHTON,6/26/1918,M
EILEEN,DE ANDRADE,9/6/1989,M
LUCILLE,DONNELLY,5/5/1912,F
WILLIAM,MILLER,6/21/1923,M
DEXTER,NASCIMENTO,2/18/1952,M
ANGELA,SULESKI,2/22/1933,F
FAYLENE,PICHARDO,12/18/1993,F
WILLIAM,ROHAN,11/4/1927,M
THERESA,MAGEE,11/25/1981,F
VINCENT,WARD,7/26/1937,F
PATRICIA,WHITE,10/21/1905,M
ANGELA,MOORADIAN,6/23/1916,F
JOSEPH,GASPIE,5/10/1951,M
MARGARET,GASPIE,7/19/1901,F
ANN,PIAZZA,11/30/1938,M
CAROL,CRABB,5/24/1909,F
ROBERT,DAMON KOMINZ,12/21/1994,M
DOUGLAS,CALLAHAN,6/12/1984,M
JOSEPHINE,DEVLIN,11/16/1962,M
DEXTER,HAAS,4/13/1908,M
RONALD,DAVIS,6/6/1977,F
WILLIAM,ESHLEMAN,8/4/1929,M
SUSAN,KILBRIDE,1/23/1947,F
RICHARD,GRAD,3/29/1992,M
MARCO,FREEDMAN,2/23/1945,M
MARTHA,DAVIS,7/1/1997,F
ANGELA,KELLEY,1/22/1968,F
ARTHUR,WILKINSON,2/5/1900,F
GLORIA,RASMUSSEN JR,3/5/1940,F
LUBA,LOCKE,5/29/1940,M
MICHELE,DORFMAN,1/18/1915,M
MARY,WOJAY,7/16/1993,M
JOHN,MCCARTHY,5/5/1951,F
WILLIAM,BACH,6/16/1979,M
LUBA,NGUYEN,3/11/1943,M
MARION,DELANEY,2/26/1907,M
GLORIA,PAVIDIS,11/3/1944,F
ANGELA,CASARELLA,8/20/1911,F
ROBERT,FISS,9/17/1939,F
CLAIRE,AYERS,12/20/1982,F
JOHN,PIERCE,2/26/1921,F
JUDY,MANNING,8/9/1930,F
RICHARD,MILLER,1/20/1913,M
JEANNE,Love,1/25/1926,M
RONA,SANTARSIERO,2/10/1950,M
MICHAEL,KLIMAS,6/3/1935,F
THOMAS,SCHAEFER,3/17/1903,M
SVETA,CHACE,6/21/1957,F
DIANE,Matangos,7/18/1953,M
DR MARIE,UVEZIAN,10/15/1983,M
MARY,CUSACK,2/2/1963,F
EVELYNE,FERREIRA JR,4/13/1918,F
LOUISE,DOWD JR,11/20/1954,F
TERRY,ESTY,4/26/1901,F
JANE,BROWN,9/11/1922,M
V,WILT,7/24/1906,F
THOMAS,MORRISSEY,7/10/1985,F
DONNA,LYTLE,10/29/1982,M
LOWE,URATO,7/21/1947,F
Annette,CAWTHERN,5/31/1900,F
BERTON,WEBSTER,5/20/1988,F
ANGELA,GAUTHIER,7/2/1911,F
ROBERT,ROCHON,12/23/1902,F
LYDIA,Gorman,2/22/1969,F
GILBERT,BRADSHAW,12/5/1999,F
JOSEPHINE,COYNE,10/16/1936,M
LUBA,GASPIE,3/7/1914,M
TERESA,LEBREUX,10/1/1939,F
SUSAN,BULLINGER,11/11/1907,M
JOSEPHINE,KANNENBERG,8/24/1981,M
ELIZABETH,ZELAYA DE QUINTANIL,9/30/1978,F
GERALD,STONE,9/3/1964,F
JAMES,WHITMORE,9/19/1931,F
JUDITH,Davy,4/7/1901,F
ARLENE,MARTELL,3/27/1904,M
MARTHA,MORSE,4/14/1907,F
RAISA,MEDEIROS,9/5/1954,M
JAMES,VANELLA,12/28/1922,F
KLAUS,SANTARSIERO,10/22/1993,M
PAUL,BOUCHER,11/30/1985,F
MARIE,MACHADO,1/13/1975,M
ROSEMARY,MICCICHE,9/5/1925,F
KIRK,RAFTERY,3/4/1986,M
MARGUERITEJ,HARKNESS,11/7/1932,F
ALFRED,GARDNER,5/16/1913,F
JUDITH,BRANDON,7/26/1943,F
LAURA,ISOLA,2/17/1992,M
DEXTER,MOROCCO,8/21/1938,M
JAMES,HALL,2/18/1978,M
ROSEMARY,WHITE,1/24/1911,F
PETER,MERJANIAN,12/20/1991,F
RICHARD,FOLCIK,12/4/1983,M
GEORGE,FOLCIK,10/17/1955,F
JOHN,Lawson,11/20/1901,M
ELIZABETH,WELCH,1/27/1907,M
LUBA,MACHADO,5/21/1945,M
DEXTER,SUTTON,2/23/1936,M
JOAN,LAMPIRIS,8/28/1988,F
JAMILEH,FRENCH,10/8/1991,M
MARY,THOMPSON,4/25/1972,F
LOELLA,HENRIQUES,11/26/1943,M
DIANE,ANGERAMO,11/15/1988,F
LAURA,MACCARONE,7/1/1995,M
RICHARD,ROBINSON,2/28/1967,F
JOAN,TURGEON,1/16/1928,F
DEXTER,ROSENFIELD,3/29/1931,M
DAVID,LICCIARDI,8/2/1921,M
Annette,DONNELLY,10/8/1928,F
WINIFRED,KANNO,10/2/1977,M
MICHELE,GASPIE,6/19/1911,M
ANN,WILLEY,6/21/1968,M
DOMINICK,GOGUEN,3/8/1920,M
WILLIAM,FRODYMA,1/15/1981,M
KELLY,PITRONE,3/5/1939,M
PAUL,PARE,8/1/1968,F
PATRICK,BORMAN,6/30/1939,F
ALLAN,DEBERNARDO,10/2/1971,F
LAURA,WAYNE,1/12/1906,M
WILLIAM,CHIARA,6/6/1968,M
PATRICIA,KHAN,12/15/1956,F
SHIRLEY,HALL,12/20/1919,F
ARNALDO,DAVIS,8/23/1909,F
GENEVA,FISHER,4/7/1960,M
ANDREW,LEITE,3/31/1987,F
MARGARET,MORRISSETTE,7/21/1922,F
THOMAS,FOLCIK,10/28/1918,F
JOHN,MACKENZIE,3/26/1974,M
JUDITH,ARAUJO,12/23/1939,F
SHIRLEY,SAILER,4/18/1921,F
PATRICIA,RUSSO,9/16/1948,F
BEVERLY,FERGUSON,10/27/1934,F
MIHAIL,LAVASSEUR,5/3/1947,F
LOWE,THOMPSON,10/4/1932,F
PAULINE,BUCHANAN,1/13/1977,F
RHONDA,MCCARTHY,12/23/1970,M
SHIRLEY,LEMAIRE,11/4/1943,F
DOROTHY,IGELBRINK,4/13/1926,M
ARTHUR,IGELBRINK,7/22/1948,F
JUDY,KUPERSTEIN,11/29/1934,F
MARC,SZOSTEK,7/25/1980,F
RICHARD,MCGRATH,5/30/1946,M
JOHN,FAMIGLIETTI,9/16/1905,F
PATRICIA,PARKER,11/19/1919,F
JOSEPHINE,MATTSON,11/14/1993,M
SUNIA,ROVATTI JR,5/5/1946,F
DANIEL,COLLEAMENO,6/30/1993,M
JOHN,Lake Setreus,7/25/1968,F
JOAN,FUNK,12/11/1951,F
EILEEN,CASSELY,2/5/1939,F
VIRGINIA,GOODRICH,3/24/1917,M
ROBERT,KOZAK,4/13/1943,F
GERALD,ASHMAN,11/4/1956,F
JOAN,LEONARD,1/24/1932,F
MURIEL,JACOBS,2/13/1991,F
LORI,COOKE,3/23/1998,M
MAGDALENA,TENANDER,8/2/1943,F
DANIEL,MENDES,9/28/1940,M
GORDON,KANIECKI,5/9/1930,M
PATRICIA,HAYDEN,8/9/1994,F
ELIZABETH,BETTEZ,9/20/1963,M
THOMAS,NARDICCHIO,3/7/1955,F
VERONICA,OCONNOR-CATALDO,2/6/1908,F
ANGELA,STOCKMAN,9/29/1993,F
JOAN,GILLOOLY,4/3/1920,M
ANN,MAHONEY,10/25/1972,F
MAE,LAURSEN,8/26/1950,F
DOROTHY,FOLCIK,11/17/1922,M
LOIS,SHARENSON,3/13/1988,M
DOROTHY,WELDON,10/24/1981,F
LYDIA,PATTON,12/23/1956,F
DOROTHY,WEBSTER,4/6/1990,M
PATRICK,ROSE,12/7/1955,F
DANIEL,WALSH,9/20/1926,M
FREDERICK,ROSS,4/9/1995,F
PAULINE,GREWAL,4/14/1972,F
THOMAS,JOHNSON,10/19/1944,F
CAROLINE,NARDONE,12/18/1962,M
V,BYRON,1/1/1918,F
LOUIS,SCHEFF,1/11/1965,M
LOUIS,LETOURNEAU,11/25/1907,M
APOLONIA,RISTAINO,3/15/1998,F
ROSANNE,LANDRY,1/22/1934,F
ROSEMARY,MCNIFF,3/20/1952,F
LOUIS,PROVENCAL,6/24/1938,M
THOMAS,TAYLOR,6/29/1925,F
PATRICIA,CHIARA,8/30/1917,M
ELIZABETH,MARTIN,12/12/1967,F
THOMAS,FALSEY,7/11/1929,F
RAYMOND,EVANS,2/8/1965,F
NORMA,HASEMANN,9/17/1972,F
VINCENT,BEARD,1/10/1937,F
ELIZABETH,MURPHY,4/6/1973,M
CLAIRE,COLOMBO,8/1/1900,F
NORMAN,WALKINS,6/28/1962,M
WILLIAM,DRASIN,2/27/1908,F
BONNIE,ODELL,6/4/1922,F
SUZANNE,CABRAL,11/9/1950,M
PHILIP,GASTON,6/28/1928,F
PRISCILLA,TAYLOR,11/17/1920,F
JOAN,RIENDEAU,5/13/1956,F
V,Barry,9/7/1945,F
MARJORIE,MOSCHETTO,8/12/1910,M
ROSE,FRY,11/14/1971,M
IRENE,ARAUJO,1/29/1966,F
HAROLD,PHENIX,10/14/1917,F
WENDY,FISHER,11/17/1954,F
HAROLD,HUTCHINSON JR,10/21/1919,F
ROSEMARY,STONE,4/11/1987,F
ANGELA,GILLADOGA,10/4/1944,F
WILLIAM,DINUNZIO,8/11/1954,M
BETTYE,SPRY,11/11/1990,F
WILLIAM,ABRAMOVSKAYA,1/14/1988,M
Robert,WELLER,9/8/1911,F
ANNE,CHARDON,12/18/1982,F
ELIZABETH,DEKSNES,2/26/1927,F
JOSEPHINE,STUDSTILL JR,4/1/1917,M
JOAN,WHITCHER,11/10/1951,M
MARY,ROSSI,7/14/1920,F
LAURA,MCDONALD,12/5/1949,M
ANTHONY,SODERBERG,3/15/1986,F
DOROTHY,CZARNECKI,12/28/1943,F
THOMAS,CELLA,11/26/1944,F
PHYLLIS,MONROIG,4/2/1903,M
MARY,DEMICHELE,9/15/1989,M
JAMES,COYNE,7/3/1957,F
MICHELE,SHATZ,3/26/1922,M
ANGELA,LEMAIRE,8/19/1972,F
JOHN,GRANT,12/16/1976,M
DOROTHY,CORNELL,7/6/1904,M
JOYCE,PIERCE,10/29/1973,F
EDDIE,HULL,3/6/1941,F
ALMA,DEEGAN,6/18/1965,F
ROBERT,SMITH,6/24/1935,M
LOIS,WILLIAMS JR,9/24/1993,M
CAROLE,CAMP,4/30/1905,F
DANIEL,SACCOMANI,6/3/1914,M
WILLIE,WILSON,12/16/1933,F
ARLENE,STARR,11/7/1900,M
LORNA,FURLANI,9/1/1901,M
KEVIN,CARTER PERTEET,9/8/1981,M
TERRY,PYNE,5/31/1908,F
GILBERT,SCULLY,1/27/1944,F
GILBERT,KAZDIN,3/27/1964,F
JAMES,RISTAINO,8/1/1994,F
ANGELA,FLEMING,7/26/1986,F
EILEEN,SWARTZ,5/19/1930,M
LORRAINE,MIS,12/7/1909,F
ALDO,MENDIBLE,1/27/1916,M
MANUEL,BIXLER,10/11/1945,F
RICHARD,JABLONSKI,10/19/1928,M
WILLIE,JABLONSKI,12/1/1973,F
BLONDINE,STERITE,4/9/1983,F
RUTH,OCONNOR,12/1/1929,M
MARCO,KEEN,12/29/1937,M
LORRAINE,SALAZAR,5/18/1986,F
JEANNETTE,HOBAN,3/17/1968,F
SAMANTHA,LEGERE,7/30/1972,F
JOHN,MAYER,12/24/1949,M
CAROLE,BARROS JR,1/31/1933,M
JAMES,LEVANGIE,4/12/1963,M
SUNIA,FOLCIK,9/10/1915,F
VILMA,MARTIN,2/11/1930,F
ANTHONY,DAOULABANI,4/17/1939,F
JOSEPHINE,MAYER,10/27/1958,M
WALTER,SHELIDE,2/4/1941,F
ETHEL,DURANTE,12/4/1927,F
FANNIE,VANANTWERP,11/20/1943,F
EILEEN,SULLIVAN JR,6/15/1924,F
JULIO,FERRETTI,6/26/1990,F
RUTH,DUDA,9/22/1960,M
JANE,STOCKTON,10/28/1978,F
DEXTER,LABELLE,4/6/1933,M
LORNA,BULLINGER,7/23/1940,M
TYRONE,MIGUEL,7/29/1986,F
JOAN,ABRAMOVSKAYA,11/2/1902,F
ANNE,HESS,6/10/1968,F
MARIE,BOURASSA,3/5/1989,F
WILLIAM,DALTON MORRIS,12/28/1924,M
ROSEMARY,GILLADOGA,11/1/1985,F
WILLIAM,SHIELDS,4/13/1919,M
RUTH,CREASON,2/22/1900,M
MARGARET,MYRICK,9/27/1942,F
LAURETTE,PLAUSSE,12/20/1967,M
LOUISE,TRETOLA,2/11/1979,F
DANIEL,CREASON,6/13/1915,M
ORLANDO,DAOULABANI,5/4/1903,F
MICHAEL,MILLER,8/16/1936,M
EDWIN,HORAN,5/20/1957,F
ORLANDO,BELL,5/27/1957,F
VIRGINIA,NEWCOMB,1/31/1931,M
DOROTHY,SAKAKEENY,9/29/1943,M
GLADYS,LOMBARDI,12/24/1932,F
WENDY,COHEN,3/31/1995,F
JOHN,KEEN,4/26/1998,F
LEIGH,LAVIERI,10/22/1993,F
MANUEL,KEANE,2/14/1918,F
JOAN,LAKE,3/31/1951,F
WILLIAM,SPADAFORA,10/16/1925,M
PATRICIA,MARTIN,5/10/1906,F
DEXTER,REMICK,5/27/1936,M
LUBA,COHANE,12/14/1925,M
RONALD,COHANE,9/22/1928,F
ANN,OSGOOD,3/26/1975,F
SUSANN,DRASIN,1/30/1935,M
EILEEN,RUSSELL,10/27/1907,F
KIRK,COOK,5/31/1996,M
VIRGINIA,BIDEAUX,9/16/1946,F
MANUEL,WELDON,5/5/1976,F
NORMA,STOCKMAN,4/4/1910,F
GRETCHEN,ZDRADA,11/23/1921,F
WILLIAM,ROMAN,10/23/1982,F
RHONDA,BROWN,4/28/1985,M
MARTHA,BREWER,2/23/1967,M
SHIRLEY,SILER,11/24/1902,F
CAROL,MARTINS,10/30/1912,F
SUSAN,SPRY,3/19/1966,F
Margaret,DAHL,10/21/1989,M
KIRK,LAVOIE,5/3/1922,M
TRACEY,RIXHAM,2/3/1901,F
MATTHEW,ALVES,12/9/1948,F
GILBERT,BORERI,5/30/1982,M
ROSEMARY,ASQUITH,4/10/1998,F
ERIC,DEKSNES,11/21/1979,F
ARLENE,NASON,5/3/1900,M
KELLY,MAYER,10/11/1963,M
ANGELA,PINA,9/20/1939,F
JOSEPHINE,FAULKNER,6/19/1967,M
LOWE,RICHARDS,5/8/1949,F
ROBERT,CZARNECKI,4/9/1919,M
JUDITH,TAYLOR,8/31/1908,F
ANGELA,DAVIES,9/4/1965,F
RHONDA,HILL,7/8/1983,M
JOSEPHINE,CARENZA,8/27/1956,M
ERIC,MURPHY,2/3/1962,F
NORMAND,ABERNATHY,3/28/1948,M
DOROTHY,THERIAULT,7/16/1964,F
JEANNE,FUNDEKLIAN,4/10/1938,M
WILLIAM,LAFORGE,1/2/1931,F
DIANE,CORPE,9/3/1959,M
RICHARD,IMBEAU,7/31/1907,M
CAROLINE,WONG,6/8/1908,M
CAROL,SMITH,4/25/1998,M
LOUIS,WON,6/3/1934,F
JOAQUIN,GUELINA,8/8/1946,M
CAROLINE,Gawlak,9/9/1991,F
VIRGINIA,DIMAURO,5/25/1966,F
FREDERICK,GASPAR,9/26/1990,F
JOHN,TURNER,3/30/1927,F
MAE,BALDERELLI,3/18/1965,F
LAURA,RAZZA,9/20/1951,M
ANTHONY,DAOULABANI,5/31/1938,F
RAYMOND,HORTON JR,4/13/1914,F
SUSAN,WEITZMAN,8/10/1975,F
JENNIE,STOLL,8/5/1948,M
ANGELA,SKILLIN,11/1/1998,F
JOAN,FAULKNER,8/17/1916,F
LORRAINE,Getman,1/28/1943,F
JOHN,VAKHLIS,1/9/1922,F
MANUEL,SHURER,6/2/1964,F
JEANETTE,CARICCHIO JR,1/30/1989,M
Annette,YOUNG,9/3/1915,F
ANGELA,YOUNG,3/31/1958,F
LORI,KUNDER,10/28/1969,M
RHONDA,DAVIS,11/22/1954,M
VIRGEN,SKOW,12/14/1961,M
MARTHA,YOUNG,1/8/1964,F
ANTHONY,DAVIS,1/20/1919,F
KENNETH,DAVIS,10/20/1983,F
ANNE,PERRY,6/1/1996,F
AGNES,RANDOLPH,7/26/1938,M
JOSEPHINE,Wallace,3/9/1983,M
WILLIE,WENGER,8/4/1997,F
MARK,MCCAHAN,3/1/1972,F
MARIE,DAVIS,3/3/1962,F
ALEXANDER,MEDEIROS,11/15/1943,F
BART,DRISCOLL,5/9/1962,F
TERRY,STEADMAN,12/18/1918,F
WILLIE,JANKOWSKI,4/17/1922,F
THOMAS,CARROLL,10/23/1973,F
JOHN,SUMNER,5/19/1987,F
EILEEN,SUTTON,12/14/1942,F
LARRY,MCDONOUGH,11/5/1992,M
CAROLINE,GILLOTT,5/30/1989,M
GEORGE,BRUNI,9/5/1903,F
SUSAN,FLEMING,1/15/1922,F
RICHARD,PERRIN,12/17/1943,M
RICHARD,BRIGHAM,10/27/1924,F
JANET,HUI,12/4/1941,F
JOHN,Stashenko,11/16/1968,M
MICHAEL,BANCROFT,4/8/1987,M
VINCENT,MERJANIAN,5/2/1953,M
ELIZABETH,EMSLEY,5/30/1988,F
WILLIAM,MANCHESTER,9/16/1949,F
LAWRENCE,STACK,3/31/1998,F
ELIZABETH,MILLMINE,12/11/1911,F
JOHN,GRODEN,10/25/1914,F
Deborah,OLSON,7/24/1914,F
ELIZABETH,RAYMOND,8/22/1968,F
SEBASTIANA,DUMONT,2/16/1953,M
BARBARA,CRISPO,3/30/1935,M
LUBA,LAWRENCE JR,12/23/1965,M
JUDITH,RISING,2/17/1989,F
RUTH,SALMELA,2/11/1983,F
ANN,MANSFIELD,2/20/1912,F
BEVERLY,MEDEIROS,11/19/1999,F
ELLEN,SKOW,1/18/1981,F
MARTHA,TAVARES,1/18/1974,F
PAUL,MARKS,1/13/1909,F
KIRK,LEMIEUX,4/30/1998,M
MARK,LEMIEUX,7/27/1972,F
LOELLA,HASKINS,8/16/1942,M
WILLIE,NEVERO,5/12/1997,F
ROSEMARY,GENERAZIO,10/8/1903,F
GERALDINE,SCHREIB,9/7/1904,F
ANGELA,PAINTER JR,1/23/1944,F
GENIYA,MURRAY,4/8/1922,M
ANTHONY,KILEY,1/21/1920,F
MARK,LOVEWINE,8/5/1906,F
ELIZABETH,HESS,3/24/1945,M
Annette,MOSCHETTO,1/23/1996,F
DIANE,DULONG,10/30/1911,M
DOROTHY,GEISE,11/2/1911,F
THOMAS,GILLADOGA,5/8/1929,F
WILLIAM,DISALVO,4/24/1911,M
CAROLINE,JOHNSON JR,9/11/1917,F
SHIRLEY,HEIM,5/27/1918,F
SHIRLEY,SAVINO JR,12/16/1946,F
JOAN,STOCKMAN,8/14/1914,F
RAYMOND,RAPOSA,6/12/1941,F
PAUL,WOOD,11/13/1976,F
DANIEL,MACVEAN,3/10/1924,M
ETHEL,BAXTER,4/11/1950,F
DEBBIE,WAUGH,6/13/1959,M
JOHN,GHOSBIGIAN,3/2/1938,F
ANGELA,HURLEY,10/10/1932,F
ETHEL,MALCHENSON,9/6/1962,F
TERRY,GRUNER,12/6/1951,F
David,HILL,10/7/1972,M
Annette,WAGNER,1/1/1998,F
APOLONIA,MACVEAN,1/1/1949,F
LAURA,TUSON,1/7/1938,F
ETHEL,MONTROND,9/18/1913,F
KIRK,MELLO,11/27/1982,M
ARLENE,FRISON,11/25/1983,F
LAURA,MOORE,6/20/1981,M
BEATRICE,DEMOURA,1/17/1988,F
ROSEMARY,MARKEY,5/28/1931,F
LORRAINE,PHILLIPS,4/9/1927,F
DEXTER,HOLTMAN,3/24/1990,M
JOSEPH,ST PIERRE,1/23/1926,M
ELEANOR,KRAVITZ,6/4/1972,F
WILLIAM,SHAUGHNESSY,5/18/1918,F
LOUIS,CHASE,4/19/1981,F
LOWE,BARABY,7/27/1997,F
Brienne,Sherrow Heidenis,8/9/1969,F
ROSEMARY,CAMARA,7/21/1918,F
SHIRLEY,MIHALIK,8/1/1929,F
MARTHA,MILLER,12/23/1925,F
WILLIAM,QUINN,2/27/1968,M
WILLIAM,MORGAN,6/20/1993,M
